Serial no.,Random no.,Title,Type,# of Citations in 2018
1,4,Spatial release from masking in insects: contribution of peripheral directionality and central inhibition,Research Article,0
2,38,Tail loss and narrow surfaces decrease locomotor stability in the arboreal green anole lizard (Anolis carolinensis),Research Article,3
3,64,Sex-specific nutrient use and preferential allocation of resources to a sexually selected trait in Hyalella amphipods,Research Article,1
4,76,Neural and neuroendocrine processing of a non-photic cue in an opportunistically breeding songbird,Research Article,1
5,153,Evolutionary escalation: the bat–moth arms race,Review,14
6,159,Desiccation tolerance in Anopheles coluzzii: the effects of spiracle size and cuticular hydrocarbons,Research Article,2
7,184,The temperature dependence of electrical excitability in fish hearts,Review,8
8,215,A subset of neurons controls the permeability of the peritrophic matrix and midgut structure in Drosophila adults,Research Article,3
9,219,The ability to survive intracellular freezing in nematodes is related to the pattern and...,Research Article,0
10,246,Metabolic allometric scaling model: combining cellular transportation and heat dissipation...,Research Article,2
11,259,Navigating under sea ice promotes rapid maturation of diving physiology and performance in...,Research Article,2
12,303,Effects of series elastic compliance on muscle force summation and the rate of force rise,Research Article,7
13,322,The answer is blowing in the wind: free-flying honeybees can integrate visual and mechano-sensory...,Research Article,4
14,325,"Assessing hydrodynamic space use of brown trout, Salmo trutta, in a complex flow environment:...",Research Article,3
15,331,"Comparative physiological, biochemical and molecular thermal stress response profiles for...",Research Article,4
16,334,"Adaptation to life in aeolian sand: how the sandfish lizard, Scincus scincus, prevents sand...",Research Article,3
17,366,Inhibition of calcium uptake during hypoxia in developing zebrafish is mediated by hypoxia-inducible factor,Research Article,2
18,501,Diel rhythms and sex differences in the locomotor activity of hawkmoths,Research Article,3
19,512,Visual acuity in ray-finned fishes correlates with eye size and habitat,Research Article,13
20,541,"Oxidative ecology of paternal care in wild smallmouth bass, Micropterus dolomieu",Research Article,0
21,562,Hotter nests produce hatchling lizards with lower thermal tolerance,Research Article,4
22,580,"Simulated predator stimuli reduce brain cell proliferation in two electric fish species, Brachyhypopomus gauderio and Apteronotus leptorhynchus",Research Article,0
23,612,Amazon river dolphins (Inia geoffrensis) modify biosonar output level and directivity during prey interception in the wild,Research Article,3
24,685,Avian thermoregulation in the heat: evaporative cooling capacity of arid-zone Caprimulgiformes from two continents,Research Article,6
25,759,Thermal history and gape of individual Mytilus californianus correlate with oxidative damage and thermoprotective osmolytes,Research Article,2
