Year,Issue,Articles,,Cumulative
2016,1,13,,13
2016,2,19,,32
2016,3,15,,47
2016,4,15,,62
2016,5,13,,75
2016,6,14,,89
2016,7,17,,106
2016,8,16,,122
2016,9,15,,137
2016,10,15,,152
2016,11,16,,168
2016,12,15,,183
2016,13,12,,195
2016,14,13,,208
2016,15,15,,223
2016,16,16,,239
2016,17,18,,257
2016,18,16,,273
2016,19,21,,294
2016,20,13,,307
2016,21,18,,325
2016,22,17,,342
2016,23,12,,354
2016,24,12,,366
2017,1,13,,379
2017,2,17,,396
2017,3,17,,413
2017,4,21,,434
2017,5,21,,455
2017,6,21,,476
2017,7,17,,493
2017,8,16,,509
2017,9,19,,528
2017,10,15,,543
2017,11,17,,560
2017,12,17,,577
2017,13,18,,595
2017,14,18,,613
2017,15,15,,628
2017,16,14,,642
2017,17,17,,659
2017,18,19,,678
2017,19,18,,696
2017,20,21,,717
2017,21,21,,738
2017,22,22,,760
2017,23,19,,779
2017,24,16,,795
